lambda_fairness,quality,unfilled_penalty,fairness_penalty,distance_penalty,objective,leads_unfilled,leads_below_min,providers_with_zero,notifications,mean_q,capacity_utilisation,expected_purchases,gini_provider_load
0.0,283.60562417902923,0.0,0.0,6.232814755513411,277.37280942351583,0,0,30,445,0.6373160093910769,0.6430635838150289,283.60562417902923,0.4045383955682267
0.1,282.9650676880516,0.0,1.1,6.304365981935003,275.56070170611656,0,0,11,445,0.6358765566023631,0.6430635838150289,282.9650676880516,0.35822729063811054
0.3,281.5520032463603,0.0,0.6,6.324488041543286,274.627515204817,0,0,2,445,0.6327011308906973,0.6430635838150289,281.5520032463603,0.33312472475256705
0.6,281.22749552890775,0.0,0.6,6.350666168365758,274.27682936054197,0,0,1,445,0.6319719000649613,0.6430635838150289,281.22749552890775,0.32955520014834394
1.0,281.22749552890775,0.0,1.0,6.350666168365758,273.876829360542,0,0,1,445,0.6319719000649613,0.6430635838150289,281.22749552890775,0.32955520014834394
2.0,281.22749552890775,0.0,2.0,6.350666168365758,272.876829360542,0,0,1,445,0.6319719000649613,0.6430635838150289,281.22749552890775,0.32955520014834394
