solver,quality,unfilled_penalty,fairness_penalty,distance_penalty,objective,leads_unfilled,leads_below_min,providers_with_zero,notifications,mean_q,capacity_utilisation,expected_purchases,gini_provider_load,solver_status
greedy,264.4941449017217,2.0,9.6,8.83012207834641,244.0640228233753,0,2,32,438,0.6038679107345245,0.6329479768786127,264.4941449017217,0.4094834278889221,
milp,281.5520032463603,0.0,0.6,6.324488041543286,274.627515204817,0,0,2,445,0.6327011308906973,0.6430635838150289,281.5520032463603,0.33312472475256705,Optimal
