scenario,leads,capacity,status,milp_expected_purchases,greedy_expected_purchases,milp_leads_unfilled,greedy_leads_unfilled,milp_below_min,utilisation,share_capacity_binding
baseline,149,692,Optimal,281.5520032463603,264.4941449017217,0,0,0,0.6430635838150289,0.5681818181818182
demand_plus_10,163,692,Optimal,297.86432881409127,272.8059635203218,0,4,0,0.6965317919075145,0.6363636363636364
demand_plus_25,186,692,Optimal,329.69059624858266,296.8052612907753,0,8,0,0.7890173410404624,0.7363636363636363
capacity_minus_10,149,641,Optimal,279.32155880290964,259.6711572658032,0,0,0,0.6942277691107644,0.6181818181818182
capacity_minus_25,149,550,Optimal,271.238251467769,245.23478271933857,0,1,0,0.8090909090909091,0.7727272727272727
max_distance_5km,149,692,Optimal,275.2860476634178,256.64277410704483,1,4,2,0.6228323699421965,0.55
quiet_week,118,692,Optimal,226.6152421515839,223.0119490570067,0,1,1,0.5043352601156069,0.4
