,precision@3,recall@3,ndcg@3,n_queries,conv_precision@3,conv_recall@3,conv_ndcg@3,coverage,ece
s_shown_rank,0.5640661938534278,0.6902836879432623,0.6804539900357087,705.0,0.2873239436619718,0.6690140845070423,0.49589741499176704,0.9954545454545455,
s_nearest,0.5560283687943263,0.6811820330969267,0.6666144853367718,705.0,0.27323943661971833,0.6293427230046948,0.483911793157386,0.9818181818181818,
s_rule,0.5815602836879432,0.7109692671394799,0.7178421159490217,705.0,0.2910798122065728,0.6779342723004694,0.532532338163142,0.9863636363636363,
p_logreg,0.5933806146572104,0.7284633569739952,0.7356806336235688,705.0,0.3145539906103286,0.7455399061032862,0.5750127024527076,0.9363636363636364,0.0518867970570282
p_hgb,0.5881796690307328,0.7210165484633569,0.7293745487130981,705.0,0.30422535211267604,0.7230046948356808,0.5593650484838092,0.95,0.04656092187203595
