provider_id,p_purchase,distance_km,availability_overlap,price_gap_pos,price_missing,has_credit,credit_balance_log,urgent,emergency,lang_match,gender_pref_met,rating_f,years_exp_cap,is_apprentice,hist_purchase_rate,tenure_days_log,hours_wanted
P0117,0.569,-0.08,-0.02,0.21,-0.0,0.09,0.02,-0.25,-0.0,-0.08,0.08,-0.01,-0.16,0.12,0.37,-0.01,0.04
P0082,0.51,-0.08,-0.02,0.21,-0.0,0.09,0.01,-0.25,-0.0,-0.08,0.08,0.01,-0.06,-0.03,0.18,-0.0,0.04
P0002,0.425,-0.08,-0.5,0.09,-0.0,0.09,0.0,-0.25,-0.0,-0.08,0.08,0.0,0.07,-0.03,0.28,0.03,0.04
